,CAMPAÑA,ID_FINCA,ID_ZONA,ID_ESTACION,ALTITUD,VARIEDAD,MODO,TIPO,COLOR,SUPERFICIE,PRODUCCION,ALTITUD_MIN,ALTITUD_DIF,P/S,ID_FINCA_ZONA
103,14,38272,44,7,620-640,87,0,0,0,0.0,4420.0,620.0,20.0,0,38272_44
104,14,38272,44,7,620-640,17,0,0,1,0.0,6200.0,620.0,20.0,0,38272_44
105,14,38272,44,7,620-640,81,0,0,1,0.0,13330.0,620.0,20.0,0,38272_44
106,14,27629,44,7,620-640,32,1,0,1,0.0,14160.0,620.0,20.0,0,27629_44
109,14,99693,899,16,640,81,0,0,1,0.0,16856.59,640.0,0.0,0,99693_899
112,14,91094,379,16,610-630,59,0,0,1,0.0,6420.1,610.0,20.0,0,91094_379
113,14,37661,379,16,610-630,59,0,0,1,0.0,6758.0,610.0,20.0,0,37661_379
114,14,2891,379,16,610-630,59,0,0,1,0.0,13178.1,610.0,20.0,0,2891_379
115,14,3555,379,16,610-630,59,0,0,1,0.0,3716.9,610.0,20.0,0,3555_379
116,14,72124,379,16,610-630,32,1,0,1,0.0,4865.0,610.0,20.0,0,72124_379
117,14,18581,379,16,610-630,59,1,0,1,0.0,1350.0,610.0,20.0,0,18581_379
118,14,13822,379,16,610-630,59,1,0,1,0.0,1350.0,610.0,20.0,0,13822_379
119,14,23846,379,16,610-630,59,1,0,1,0.0,1350.0,610.0,20.0,0,23846_379
120,14,89768,379,7,610-630,52,1,0,1,0.0,3530.0,610.0,20.0,0,89768_379
121,14,57254,379,7,610-630,59,0,0,1,0.0,11280.0,610.0,20.0,0,57254_379
122,14,57254,379,7,610-630,32,1,0,1,0.0,18120.0,610.0,20.0,0,57254_379
123,14,80170,379,7,610-630,32,1,0,1,0.0,8817.036,610.0,20.0,0,80170_379
124,14,3091,379,16,610-630,81,0,0,1,0.0,26610.34,610.0,20.0,0,3091_379
126,14,80479,379,7,610-630,52,1,0,1,0.0,19930.0,610.0,20.0,0,80479_379
127,14,88517,379,16,610-630,87,0,0,0,0.0,6160.0,610.0,20.0,0,88517_379
128,14,61928,379,16,610-630,81,0,0,1,0.0,4697.34,610.0,20.0,0,61928_379
129,14,87201,379,16,610-630,59,0,0,1,0.0,3716.9,610.0,20.0,0,87201_379
130,14,94886,726,7,610,17,0,0,1,0.0,6744.0,610.0,0.0,0,94886_726
131,14,94886,726,7,610,32,1,0,1,0.0,10505.0,610.0,0.0,0,94886_726
132,14,44512,726,7,610,32,1,0,1,0.0,10505.0,610.0,0.0,0,44512_726
133,14,63181,726,7,610,68,0,0,0,0.0,6780.0,610.0,0.0,0,63181_726
134,14,63181,726,7,610,17,0,0,1,0.0,10116.0,610.0,0.0,0,63181_726
135,14,48816,726,7,610,17,0,0,1,0.0,11316.0,610.0,0.0,0,48816_726
136,14,96975,726,7,610,59,0,0,1,0.0,4456.2,610.0,0.0,0,96975_726
138,14,68761,726,7,610,17,0,0,1,0.0,7544.0,610.0,0.0,0,68761_726
139,14,85950,474,7,620-630,9,1,0,0,0.0,4820.0,620.0,10.0,0,85950_474
140,14,1270,474,7,620-630,9,1,0,0,0.0,4820.0,620.0,10.0,0,1270_474
142,14,12869,474,7,620-630,81,1,0,1,0.0,21826.8,620.0,10.0,0,12869_474
145,14,87878,474,7,620-630,15,1,0,1,0.0,7030.0,620.0,10.0,0,87878_474
146,14,94554,893,7,580-600,68,0,0,0,0.0,10610.0,580.0,20.0,0,94554_893
148,14,64499,893,7,580-600,32,1,0,1,0.0,5626.71,580.0,20.0,0,64499_893
149,14,84904,893,7,580-600,32,1,0,1,0.0,4126.254,580.0,20.0,0,84904_893
150,14,8690,893,7,580-600,17,1,0,1,0.0,2160.0,580.0,20.0,0,8690_893
151,14,95008,893,7,580-600,17,0,0,1,0.0,3080.0,580.0,20.0,0,95008_893
152,14,58150,893,7,580-600,52,1,0,1,0.0,10490.0,580.0,20.0,0,58150_893
153,14,23668,893,7,580-600,59,1,0,1,0.0,10100.0,580.0,20.0,0,23668_893
154,14,35287,893,7,580-600,68,0,0,0,0.0,4545.0,580.0,20.0,0,35287_893
158,14,58567,506,7,600-620,17,1,0,1,0.0,16830.0,600.0,20.0,0,58567_506
159,14,33248,506,16,600-620,17,0,0,1,0.0,25880.0,600.0,20.0,0,33248_506
160,14,14470,506,7,600-620,59,0,0,1,0.0,5300.0,600.0,20.0,0,14470_506
161,14,14470,506,7,600-620,32,1,0,1,0.0,58880.0,600.0,20.0,0,14470_506
162,14,14470,506,7,600-620,17,1,0,1,0.0,8049.6,600.0,20.0,0,14470_506
163,14,14470,506,7,600-620,59,1,0,1,0.0,7530.0,600.0,20.0,0,14470_506
164,14,18139,506,7,600-620,17,0,0,1,0.0,10300.0,600.0,20.0,0,18139_506
165,14,18139,506,7,600-620,59,0,0,1,0.0,6770.0,600.0,20.0,0,18139_506
166,14,18139,506,7,600-620,17,1,0,1,0.0,12590.4,600.0,20.0,0,18139_506
167,14,89440,506,7,600-620,26,1,0,1,0.0,4570.0,600.0,20.0,0,89440_506
168,14,45489,506,16,600-620,32,1,0,1,0.0,17823.96,600.0,20.0,0,45489_506
169,14,48877,506,16,600-620,32,1,0,1,0.0,33616.04,600.0,20.0,0,48877_506
170,14,48877,506,16,600-620,52,1,0,1,0.0,9225.76,600.0,20.0,0,48877_506
171,14,48877,506,16,600-620,59,1,0,1,0.0,15172.338,600.0,20.0,0,48877_506
172,14,68089,506,16,600-620,52,1,0,1,0.0,11934.24,600.0,20.0,0,68089_506
173,14,68089,506,16,600-620,59,1,0,1,0.0,19997.662,600.0,20.0,0,68089_506
174,14,31153,990,18,650-680,32,1,0,1,0.0,2709.7,650.0,30.0,0,31153_990
175,14,38454,990,18,650-680,32,1,0,1,0.0,2820.3,650.0,30.0,0,38454_990
176,14,2821,990,18,650-680,59,1,0,1,0.0,17210.0,650.0,30.0,0,2821_990
177,14,52475,990,18,650-680,59,0,0,1,0.0,5130.0,650.0,30.0,0,52475_990
182,14,54960,849,5,680-720,68,0,0,0,0.0,30260.0,680.0,40.0,0,54960_849
183,14,68936,849,5,680-720,87,0,0,0,0.0,13030.0,680.0,40.0,0,68936_849
184,14,68936,849,5,680-720,40,1,0,1,0.0,5840.0,680.0,40.0,0,68936_849
185,14,74003,849,5,680-720,59,0,0,1,0.0,17270.0,680.0,40.0,0,74003_849
190,14,68718,849,5,680-720,52,1,0,1,0.0,8470.0,680.0,40.0,0,68718_849
191,14,64042,849,5,680-720,59,0,0,1,0.0,21420.0,680.0,40.0,0,64042_849
192,14,797,845,16,625-670,68,0,0,0,0.0,10140.0,625.0,45.0,0,797_845
193,14,797,845,16,625-670,59,0,0,1,0.0,32610.0,625.0,45.0,0,797_845
194,14,92218,845,16,625-670,87,0,0,0,0.0,3260.0,625.0,45.0,0,92218_845
195,14,92218,845,16,625-670,68,0,0,0,0.0,6296.4,625.0,45.0,0,92218_845
196,14,84183,845,16,625-670,59,1,0,1,0.0,1790.0,625.0,45.0,0,84183_845
198,14,25422,845,16,625-670,59,0,0,1,0.0,11270.0,625.0,45.0,0,25422_845
200,14,84948,845,16,625-670,68,0,0,0,0.0,7441.2,625.0,45.0,0,84948_845
202,14,14843,845,16,625-670,62,1,0,0,0.0,10650.88,625.0,45.0,0,14843_845
203,14,80627,845,16,625-670,62,1,0,0,0.0,1909.12,625.0,45.0,0,80627_845
204,14,80627,845,16,625-670,8,1,0,0,0.0,3419.176,625.0,45.0,0,80627_845
205,14,80627,845,16,625-670,43,1,0,0,0.0,5510.0,625.0,45.0,0,80627_845
206,14,45773,724,16,600-620,32,1,0,1,0.0,2940.0,600.0,20.0,0,45773_724
207,14,87664,724,16,600-620,59,0,0,1,0.0,607.6,600.0,20.0,0,87664_724
209,14,87293,724,16,600-620,32,1,0,1,0.0,14595.0,600.0,20.0,0,87293_724
210,14,87293,724,16,600-620,59,1,0,1,0.0,7122.4,600.0,20.0,0,87293_724
211,14,9158,724,16,600-620,59,0,0,1,0.0,9470.0,600.0,20.0,0,9158_724
213,14,35271,724,16,600-620,40,1,0,1,0.0,9440.0,600.0,20.0,0,35271_724
214,14,33486,724,16,600-620,17,0,0,1,0.0,53500.0,600.0,20.0,0,33486_724
216,14,20934,724,16,600-620,59,0,0,1,0.0,1562.4,600.0,20.0,0,20934_724
217,14,84482,272,16,600-670,81,0,0,1,0.0,16460.0,600.0,70.0,0,84482_272
218,14,72027,272,5,600-670,81,0,0,1,0.0,8249.1,600.0,70.0,0,72027_272
219,14,50528,272,5,600-670,59,0,0,1,0.0,19632.0,600.0,70.0,0,50528_272
221,14,55261,272,5,600-670,59,0,0,1,0.0,11760.0,600.0,70.0,0,55261_272
222,14,70620,272,16,600-670,59,0,0,1,0.0,352.5,600.0,70.0,0,70620_272
223,14,97861,272,5,600-670,59,0,0,1,0.0,4060.0,600.0,70.0,0,97861_272
224,14,72130,272,5,600-670,52,1,0,1,0.0,1533.0,600.0,70.0,0,72130_272
225,14,72130,272,5,600-670,59,1,0,1,0.0,12810.0,600.0,70.0,0,72130_272
226,14,523,272,5,600-670,59,0,0,1,0.0,2290.4,600.0,70.0,0,523_272
227,14,68145,272,5,600-670,59,0,0,1,0.0,9161.6,600.0,70.0,0,68145_272
228,14,68145,272,5,600-670,81,0,0,1,0.0,4523.7,600.0,70.0,0,68145_272
229,14,68145,272,5,600-670,52,1,0,1,0.0,10388.88,600.0,70.0,0,68145_272
230,14,20693,272,5,600-670,59,0,0,1,0.0,1636.0,600.0,70.0,0,20693_272
231,14,20693,272,5,600-670,81,0,0,1,0.0,2394.9,600.0,70.0,0,20693_272
232,14,20693,272,5,600-670,32,1,0,1,0.0,67420.0,600.0,70.0,0,20693_272
233,14,20693,272,5,600-670,52,1,0,1,0.0,14171.12,600.0,70.0,0,20693_272
235,14,25377,272,16,600-670,59,0,0,1,0.0,1997.5,600.0,70.0,0,25377_272
236,14,77330,272,16,600-670,59,0,0,1,0.0,3470.0,600.0,70.0,0,77330_272
239,14,58595,272,16,600-670,59,0,0,1,0.0,4228.4,600.0,70.0,0,58595_272
240,14,58595,272,16,600-670,59,1,0,1,0.0,3968.8,600.0,70.0,0,58595_272
241,14,62629,272,16,600-670,81,0,0,1,0.0,19970.0,600.0,70.0,0,62629_272
242,14,62629,272,16,600-670,81,1,0,1,0.0,18210.0,600.0,70.0,0,62629_272
243,14,34512,272,16,600-670,59,0,0,1,0.0,48010.0,600.0,70.0,0,34512_272
244,14,87873,272,16,600-670,59,0,0,1,0.0,8456.8,600.0,70.0,0,87873_272
245,14,87873,272,16,600-670,32,1,0,1,0.0,5685.6,600.0,70.0,0,87873_272
246,14,87873,272,16,600-670,59,1,0,1,0.0,7937.6,600.0,70.0,0,87873_272
247,14,50343,272,16,600-670,87,0,0,0,0.0,18450.0,600.0,70.0,0,50343_272
248,14,50343,272,16,600-670,17,0,0,1,0.0,12015.6,600.0,70.0,0,50343_272
249,14,60279,272,5,600-670,87,0,0,0,0.0,5220.0,600.0,70.0,0,60279_272
250,14,53137,272,16,600-670,81,0,0,1,0.0,11442.3,600.0,70.0,0,53137_272
251,14,19679,272,16,600-670,15,1,0,1,0.0,12480.0,600.0,70.0,0,19679_272
252,14,19679,272,16,600-670,32,1,0,1,0.0,18004.4,600.0,70.0,0,19679_272
253,14,19679,272,16,600-670,52,1,0,1,0.0,12590.0,600.0,70.0,0,19679_272
254,14,69552,272,16,600-670,59,0,0,1,0.0,2498.6,600.0,70.0,0,69552_272
255,14,69552,272,16,600-670,59,1,0,1,0.0,2345.2,600.0,70.0,0,69552_272
256,14,69552,272,16,600-670,65,1,0,1,0.0,5790.0,600.0,70.0,0,69552_272
257,14,62606,272,16,600-670,81,0,0,1,0.0,2260.0,600.0,70.0,0,62606_272
258,14,62606,272,16,600-670,81,1,0,1,0.0,12210.0,600.0,70.0,0,62606_272
259,14,65838,272,16,600-670,59,0,0,1,0.0,4036.2,600.0,70.0,0,65838_272
260,14,65838,272,16,600-670,59,1,0,1,0.0,3788.4,600.0,70.0,0,65838_272
261,14,13450,939,16,605-615,17,0,0,1,0.0,3960.0,605.0,10.0,0,13450_939
262,14,69138,939,16,605-615,17,0,0,1,0.0,15840.0,605.0,10.0,0,69138_939
263,14,69138,939,16,605-615,59,0,0,1,0.0,15078.7,605.0,10.0,0,69138_939
264,14,70449,939,16,605-615,17,0,0,1,0.0,17630.0,605.0,10.0,0,70449_939
266,14,50093,939,16,605-615,17,0,0,1,0.0,6570.0,605.0,10.0,0,50093_939
268,14,38443,939,16,605-615,17,0,0,1,0.0,5940.0,605.0,10.0,0,38443_939
271,14,27761,700,16,600-610,59,0,0,1,0.0,5360.0,600.0,10.0,0,27761_700
276,14,6454,700,16,600-610,59,0,0,1,0.0,21460.0,600.0,10.0,0,6454_700
277,14,6454,700,16,600-610,81,0,0,1,0.0,12130.0,600.0,10.0,0,6454_700
278,14,22879,700,16,600-610,87,0,0,0,0.0,11600.0,600.0,10.0,0,22879_700
279,14,22879,700,16,600-610,17,0,0,1,0.0,13480.0,600.0,10.0,0,22879_700
280,14,23421,700,16,600-610,17,0,0,1,0.0,1017.3,600.0,10.0,0,23421_700
281,14,48438,700,16,600-610,17,0,0,1,0.0,3900.4,600.0,10.0,0,48438_700
282,14,96414,700,16,600-610,17,0,0,1,0.0,4059.6,600.0,10.0,0,96414_700
283,14,39276,700,16,600-610,17,1,0,1,0.0,3320.0,600.0,10.0,0,39276_700
285,14,27819,700,16,600-610,17,0,0,1,0.0,32892.7,600.0,10.0,0,27819_700
286,14,27819,700,16,600-610,59,0,0,1,0.0,5230.0,600.0,10.0,0,27819_700
288,14,61177,700,16,600-610,17,0,0,1,0.0,350.0,600.0,10.0,0,61177_700
289,14,61177,700,16,600-610,32,1,0,1,0.0,30500.0,600.0,10.0,0,61177_700
290,14,61177,700,16,600-610,17,1,0,1,0.0,41620.0,600.0,10.0,0,61177_700
291,14,61177,700,16,600-610,52,1,0,1,0.0,35570.0,600.0,10.0,0,61177_700
292,14,42164,700,16,600-610,17,1,0,1,0.0,4980.0,600.0,10.0,0,42164_700
293,14,60635,700,16,600-610,17,0,0,1,0.0,22310.0,600.0,10.0,0,60635_700
294,14,60635,700,16,600-610,17,1,0,1,0.0,1380.0,600.0,10.0,0,60635_700
295,14,48807,700,16,600-610,17,0,0,1,0.0,2390.0,600.0,10.0,0,48807_700
296,14,55225,677,5,610,32,1,0,1,0.0,17335.0,610.0,0.0,0,55225_677
297,14,2916,677,5,610,17,0,0,1,0.0,12558.0,610.0,0.0,0,2916_677
298,14,2916,677,5,610,32,1,0,1,0.0,11700.0,610.0,0.0,0,2916_677
299,14,2916,677,5,610,59,1,0,1,0.0,4500.0,610.0,0.0,0,2916_677
300,14,96847,677,5,610,17,0,0,1,0.0,1092.0,610.0,0.0,0,96847_677
301,14,34500,677,5,610,32,1,0,1,0.0,17335.0,610.0,0.0,0,34500_677
302,14,68807,839,5,610,17,0,0,1,0.0,15600.0,610.0,0.0,0,68807_839
303,14,44625,839,5,610,17,0,0,1,0.0,6370.0,610.0,0.0,0,44625_839
304,14,44625,839,5,610,17,1,0,1,0.0,3075.8,610.0,0.0,0,44625_839
307,14,90901,839,5,610,59,0,0,1,0.0,6806.0,610.0,0.0,0,90901_839
308,14,90901,839,5,610,59,1,0,1,0.0,20667.0,610.0,0.0,0,90901_839
311,14,92583,839,5,610,87,0,0,0,0.0,8560.0,610.0,0.0,0,92583_839
312,14,92583,839,5,610,17,0,0,1,0.0,1562.4,610.0,0.0,0,92583_839
313,14,11395,839,5,610,17,0,0,1,0.0,25310.0,610.0,0.0,0,11395_839
314,14,11395,839,5,610,59,0,0,1,0.0,6230.0,610.0,0.0,0,11395_839
315,14,11395,839,5,610,59,1,0,1,0.0,37260.0,610.0,0.0,0,11395_839
316,14,56446,839,5,610,59,0,0,1,0.0,1869.4,610.0,0.0,0,56446_839
318,14,73893,839,5,610,65,1,0,1,0.0,9870.0,610.0,0.0,0,73893_839
319,14,61431,839,5,610,59,1,0,1,0.0,8710.0,610.0,0.0,0,61431_839
320,14,55518,839,5,610,17,0,0,1,0.0,9470.0,610.0,0.0,0,55518_839
323,14,17407,839,5,610,59,0,0,1,0.0,10497.4,610.0,0.0,0,17407_839
324,14,30114,839,5,610,59,0,0,1,0.0,1394.0,610.0,0.0,0,30114_839
325,14,30114,839,5,610,59,1,0,1,0.0,4233.0,610.0,0.0,0,30114_839
326,14,2716,839,5,610,17,0,0,1,0.0,4017.6,610.0,0.0,0,2716_839
327,14,86267,839,5,610,52,0,0,1,0.0,1740.0,610.0,0.0,0,86267_839
328,14,57440,839,5,610,32,1,0,1,0.0,4860.0,610.0,0.0,0,57440_839
329,14,67670,751,5,600-620,17,0,0,1,0.0,646.2,600.0,20.0,0,67670_751
330,14,67670,751,5,600-620,17,1,0,1,0.0,4458.6,600.0,20.0,0,67670_751
331,14,13313,751,5,600-620,17,0,0,1,0.0,10523.2,600.0,20.0,0,13313_751
332,14,56863,751,5,600-620,17,0,0,1,0.0,1436.0,600.0,20.0,0,56863_751
333,14,56863,751,5,600-620,17,1,0,1,0.0,9908.0,600.0,20.0,0,56863_751
334,14,28410,751,5,600-620,17,0,0,1,0.0,5097.8,600.0,20.0,0,28410_751
335,14,28410,751,5,600-620,17,1,0,1,0.0,35173.4,600.0,20.0,0,28410_751
336,14,49130,751,5,600-620,17,0,0,1,0.0,5919.3,600.0,20.0,0,49130_751
341,14,93538,373,5,670,17,0,0,1,0.0,16170.0,670.0,0.0,0,93538_373
342,14,93538,373,5,670,59,0,0,1,0.0,4270.0,670.0,0.0,0,93538_373
343,14,69576,373,5,670,68,0,0,0,0.0,3396.0,670.0,0.0,0,69576_373
344,14,75702,373,5,670,17,0,0,1,0.0,17290.0,670.0,0.0,0,75702_373
345,14,75702,373,5,670,17,1,0,1,0.0,8348.6,670.0,0.0,0,75702_373
347,14,85546,373,5,670,68,0,0,0,0.0,22357.0,670.0,0.0,0,85546_373
348,14,85546,373,5,670,17,0,0,1,0.0,14469.4,670.0,0.0,0,85546_373
349,14,91794,373,5,670,68,0,0,0,0.0,2547.0,670.0,0.0,0,91794_373
350,14,33453,170,5,620-640,17,0,0,1,0.0,10475.4,620.0,20.0,0,33453_170
351,14,91148,170,5,620-640,17,0,0,1,0.0,20334.6,620.0,20.0,0,91148_170
352,14,31899,170,5,620-640,17,0,0,1,0.0,10380.0,620.0,20.0,0,31899_170
356,14,25671,209,18,620-640,68,0,0,0,0.0,11180.0,620.0,20.0,0,25671_209
357,14,25671,209,18,620-640,52,0,0,1,0.0,2548.4,620.0,20.0,0,25671_209
360,14,5897,209,18,620-640,15,1,0,1,0.0,14340.0,620.0,20.0,0,5897_209
362,14,63812,209,18,620-640,40,0,0,1,0.0,5230.0,620.0,20.0,0,63812_209
368,14,44713,511,16,620,59,0,0,1,0.0,7880.0,620.0,0.0,0,44713_511
369,14,39495,511,16,620,17,0,0,1,0.0,17820.0,620.0,0.0,0,39495_511
370,14,66350,417,18,660-680,32,1,0,1,0.0,15130.0,660.0,20.0,0,66350_417
371,14,66350,417,18,660-680,59,1,0,1,0.0,13810.0,660.0,20.0,0,66350_417
374,14,82928,417,18,660-680,15,1,0,1,0.0,15840.0,660.0,20.0,0,82928_417
375,14,82928,417,18,660-680,32,1,0,1,0.0,14870.0,660.0,20.0,0,82928_417
376,14,63365,417,18,660-680,59,0,0,1,0.0,18920.0,660.0,20.0,0,63365_417
378,14,87434,417,18,660-680,15,1,0,1,0.0,7520.0,660.0,20.0,0,87434_417
379,14,76588,417,18,660-680,59,0,0,1,0.0,8390.0,660.0,20.0,0,76588_417
380,14,76588,417,18,660-680,32,1,0,1,0.0,22670.0,660.0,20.0,0,76588_417
381,14,55497,417,18,660-680,59,0,0,1,0.0,13620.0,660.0,20.0,0,55497_417
382,14,71764,36,18,630-640,87,1,0,0,0.0,24400.0,630.0,10.0,0,71764_36
383,14,71764,36,18,630-640,17,1,0,1,0.0,32176.2,630.0,10.0,0,71764_36
384,14,4052,36,18,630-640,17,1,0,1,0.0,20684.7,630.0,10.0,0,4052_36
385,14,17043,36,18,630-640,17,1,0,1,0.0,23749.1,630.0,10.0,0,17043_36
386,14,52973,36,18,630-640,43,1,0,0,0.0,4920.0,630.0,10.0,0,52973_36
387,14,39112,266,18,650-660,32,1,0,1,0.0,44650.0,650.0,10.0,0,39112_266
388,14,43256,266,18,650-660,87,0,0,0,0.0,450.0,650.0,10.0,0,43256_266
389,14,43256,266,18,650-660,87,1,0,0,0.0,4720.0,650.0,10.0,0,43256_266
391,14,93168,266,18,650-660,59,0,0,1,0.0,6784.0,650.0,10.0,0,93168_266
392,14,67743,266,18,650-660,59,0,0,1,0.0,5088.0,650.0,10.0,0,67743_266
393,14,55823,266,18,650-660,59,0,0,1,0.0,5088.0,650.0,10.0,0,55823_266
394,14,38025,266,18,650-660,59,0,0,1,0.0,30170.0,650.0,10.0,0,38025_266
395,14,11536,803,5,630-640,32,1,0,1,0.0,4490.0,630.0,10.0,0,11536_803
396,14,75171,803,5,630-640,17,0,0,1,0.0,1249.3,630.0,10.0,0,75171_803
397,14,75171,803,5,630-640,17,1,0,1,0.0,9656.5,630.0,10.0,0,75171_803
398,14,98140,803,5,630-640,84,0,0,0,0.0,3591.7,630.0,10.0,0,98140_803
399,14,98140,803,5,630-640,87,1,0,0,0.0,1080.0,630.0,10.0,0,98140_803
400,14,98140,803,5,630-640,59,1,0,1,0.0,22401.5,630.0,10.0,0,98140_803
401,14,78281,803,5,630-640,17,0,0,1,0.0,18640.0,630.0,10.0,0,78281_803
